REGION;DEPARTAMENTO;MUNICIPIO;COD_DANE;PROBABILIDAD;FECHA_EJECUCION
ANDINA;ANTIOQUIA;ABEJORRAL;05002;3;4/12/2023
ANDINA;ANTIOQUIA;AMAGÁ;05030;3;4/12/2023
ANDINA;ANTIOQUIA;AMALFI;05031;3;4/12/2023
ANDINA;ANTIOQUIA;ANDES;05034;3;4/12/2023
ANDINA;ANTIOQUIA;ANGELÓPOLIS;05036;3;4/12/2023
ANDINA;ANTIOQUIA;ANZÁ;05044;3;4/12/2023
ANDINA;ANTIOQUIA;ARMENIA;05059;3;4/12/2023
ANDINA;ANTIOQUIA;BELLO;05088;3;4/12/2023
ANDINA;ANTIOQUIA;BELMIRA;05086;3;4/12/2023
ANDINA;ANTIOQUIA;BETULIA;05093;3;4/12/2023
ANDINA;ANTIOQUIA;BURITICÁ;05113;3;4/12/2023
ANDINA;ANTIOQUIA;CALDAS;05129;3;4/12/2023
ANDINA;ANTIOQUIA;CARAMANTA;05145;3;4/12/2023
ANDINA;ANTIOQUIA;CAROLINA;05150;3;4/12/2023
ANDINA;ANTIOQUIA;CIUDAD BOLÍVAR;05101;3;4/12/2023
ANDINA;ANTIOQUIA;CONCORDIA;05209;3;4/12/2023
ANDINA;ANTIOQUIA;COPACABANA;05212;3;4/12/2023
ANDINA;ANTIOQUIA;DONMATÍAS;05237;3;4/12/2023
ANDINA;ANTIOQUIA;EBÉJICO;05240;3;4/12/2023
ANDINA;ANTIOQUIA;EL BAGRE;05250;3;4/12/2023
ANDINA;ANTIOQUIA;EL CARMEN DE VIBORAL;05148;3;4/12/2023
ANDINA;ANTIOQUIA;ENVIGADO;05266;3;4/12/2023
ANDINA;ANTIOQUIA;FREDONIA;05282;3;4/12/2023
ANDINA;ANTIOQUIA;GIRALDO;05306;3;4/12/2023
ANDINA;ANTIOQUIA;GIRARDOTA;05308;3;4/12/2023
ANDINA;ANTIOQUIA;GUADALUPE;05315;3;4/12/2023
ANDINA;ANTIOQUIA;GUARNE;05318;3;4/12/2023
ANDINA;ANTIOQUIA;GÓMEZ PLATA;05310;3;4/12/2023
ANDINA;ANTIOQUIA;HELICONIA;05347;3;4/12/2023
ANDINA;ANTIOQUIA;HISPANIA;05353;3;4/12/2023
ANDINA;ANTIOQUIA;ITAGÜÍ;05360;3;4/12/2023
ANDINA;ANTIOQUIA;JARDÍN;05364;3;4/12/2023
ANDINA;ANTIOQUIA;JERICÓ;05368;3;4/12/2023
ANDINA;ANTIOQUIA;LA CEJA;05376;3;4/12/2023
ANDINA;ANTIOQUIA;LA ESTRELLA;05380;3;4/12/2023
ANDINA;ANTIOQUIA;LA PINTADA;05390;3;4/12/2023
ANDINA;ANTIOQUIA;LA UNIÓN;05400;3;4/12/2023
ANDINA;ANTIOQUIA;LIBORINA;05411;3;4/12/2023
ANDINA;ANTIOQUIA;MEDELLÍN;05001;3;4/12/2023
